id,productName,productCategory,packagingType,weightGrams,pricingMode,productCondition,fatRatioComments,onlineEnabled,isActive
prod_1785656884530_b2b083,"عرق رستو برازيلى ""تربيانكو""",غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b084,سن برازيلي,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b085,بريسكت برازيلي,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b086,بوش برازيلي,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b087,كتف برازيلي,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b088,وش فخدة برازيلي,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b089,موزه امامى برازيلى,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b090,موزه خلفى برازيلى,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b091,كبدة برازيلي-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b092,كبده امريكانى-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b093,فراخ برازيلى مجمدة (سيارا) بالكرتونه,غير محدد,,1.100,weight,فريش,,FALSE,TRUE
