ZONE|AREA|Sub-Area|Average distance (km)|Value of delivery cost|Free delivery value
||السعادة|48.6|85|1800
|المعادى|بساتين|48.8|55|1800
|المعادى|حدائق المعادي|48.8|55|1800
|مصر الجديده|القبة|48.8|85|1800
|مصر الجديده|ألف مسكن|49.2|85|1800
|مصر الجديده|حلمية الزيتون|49.2|85|1800
|مصر الجديده|سرايا القبة|49.8|85|1800
|الشروق|زيزينيا فلاورز|50|85|1800
|مصر الجديده|الماظة|50|85|1800
|مصر الجديده|حدائق القبة|50|85|1800
|شبرا|الدرب الاحمر|50|105|2300
||الصحراوي|50|85|1800
zone 6|مصر الجديده|النزهة الجديدة|50.2|85|1800
|دجله|صقر قريش|50.4|85|1800
|السيده|الامام الشافعي|50.6|100|1800
|حلوان|كوتسيكا|50.6|105|2300
|مصر الجديده|المطريه|51|85|1800
|الشروق|سيدة عائشة|51|100|2300
|المرج|القلعة|51|85|1800
|مدينتى|||85|1800
|مصر الجديده|حدائق الزيتون|51.4|85|1800
|مصر الجديده|صلاح سالم|51.8|85|1800
|دجله|نيركو|51.8|85|1800
|دجله|اللاسلكي|52|85|1800
|السيده|المدبح|52|85|1800
|دجله|شارع النصر|52.2|85|1800
|مصر الجديده|عين شمس|52.8|85|1800
|حلوان|15 مايو|53|85|1800
|المعادى|المعادى|53.2|85|1800
|وسط البلد|وسط البلد|53.2|85|1800
|زهراء|عمارات المرشدي|53.4|85|1800
|شبرا|ميدان لاظغلي|53.6|85|1800
|زهراء|ابراج بدر|54.2|85|1800
|شبرا|الاميرية|54.2|85|1800
|الهرم|الزاوية الحمرا|54.6|85|1800
|حلوان|وادر حوف|55.4|85|1800
|المرج|الشرابية|55.6|85|1800
|مصر الجديده|عين الصيرة|57.4|85|1800
|المهندسين|الزمالك|57.4|100|1800
|السيده|زهراء مصر القديمة|57.6|100|1800
|المهندسين|رملة بولاق|58|100|1800
|حلوان|المعصرة|58|105|2300
|حلوان|حدائق حلوان|58.4|105|2300
|العبور|جمعية احمد عرابي|58.6|105|2300
|الهرم|العمرانيه|59|105|2300
|الشروق|مدينة السلام|59.6|100|2300
|وسط البلد|التحرير|60|100|2300
|وسط البلد|عابدين|60|100|2300
|وسط البلد|غمرة|60|100|2300
|السيده|فسطاط|60|100|1800
|مدينه المستقبل|طريق الإسماعيلية الصحراوي|60|85|1800
|المهندسين|الكيت كات|60|100|1800
|المهندسين|الوراق|60|100|1800
zone 7|دجله|مؤمن|60.4|100|1800
|المعادى|كورنيش المعادي|61.2|100|1800
|مصر الجديده|مدينة قباء|62.2|100|1800
|مدينه المستقبل|مدينه المستقبل|63.2|100|1800
|السيده|مصر القديمة|63.8|100|1800
|المنيل|الملك الصالح|64.400000000000006|100|1800
|حلوان|طرة الاسمنت|64.400000000000006|100|1800
|وسط البلد|القصر العيني|65.2|100|1800
|شبرا|ساحل روض الفرج|66|100|1800
|المهندسين|الدقي|67|100|1800
|الهرم|شارع العريش|68.400000000000006|105|1800
|الهرم|فيصل|68.8|105|1800
|شبرا|بولاق دكرور|68.8|105|1800
zone 8|المرج|المرج|72|105|2300
|المرج|المرج الجديد|72|105|2300
|المهندسين|العجوزة|73.400000000000006|100|1800
|العبور|مدينة بدر|73.8|100|1800
zone 9|شبرا|الخصوص|82|100|1800
|حدائق الاهرام|||100|1800
|الهرم|صفط اللبن|90.2|100|1800
|أكتوبر - الشيخ زايد|أكتوبر - الشيخ زايد|91.2|135|2300
zone 10|أكتوبر - الشيخ زايد|بالم هيلز-أكتوبر|105|135|2300
|مدينه المستقبل|القناطر الخيرية|114|135|2300
|أكتوبر - الشيخ زايد|القناطر|120|135|2300
|شبرا الخيمه||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
